close,timestamp,exchange,expiry,high,low,open,oi,type,instrument,volume
12802,30/01/13 14:24,NFO,31-Jan-13,12802,12798.45,12798.45,866625,Futures,CNXBAN,800
12800.3,30/01/13 14:25,NFO,31-Jan-13,12803,12800.3,12802,866075,Futures,CNXBAN,800
12794.05,30/01/13 14:26,NFO,31-Jan-13,12798.45,12793.75,12798.45,866075,Futures,CNXBAN,1475
12796.65,30/01/13 14:27,NFO,31-Jan-13,12800,12793.5,12794.05,866075,Futures,CNXBAN,1150
12796,30/01/13 14:28,NFO,31-Jan-13,12799.75,12796,12798,866300,Futures,CNXBAN,225
12789.6,30/01/13 14:29,NFO,31-Jan-13,12799.7,12789.6,12796,866300,Futures,CNXBAN,1525
12794,30/01/13 14:30,NFO,31-Jan-13,12794.75,12788.8,12788.8,866300,Futures,CNXBAN,1450
12795,30/01/13 14:31,NFO,31-Jan-13,12795,12792.15,12794,865850,Futures,CNXBAN,1300
12793.5,30/01/13 14:32,NFO,31-Jan-13,12795,12789.4,12795,865850,Futures,CNXBAN,675
12803,30/01/13 14:33,NFO,31-Jan-13,12804,12790.1,12793.5,865850,Futures,CNXBAN,3100
12800.05,30/01/13 14:34,NFO,31-Jan-13,12805,12800,12803,864900,Futures,CNXBAN,2500
12802.95,30/01/13 14:35,NFO,31-Jan-13,12802.95,12799,12800.1,864900,Futures,CNXBAN,1125
12793.6,30/01/13 14:36,NFO,31-Jan-13,12803.4,12793.4,12802.95,864900,Futures,CNXBAN,2975
12793.35,30/01/13 14:37,NFO,31-Jan-13,12795,12790.55,12793.55,864700,Futures,CNXBAN,2650
12800,30/01/13 14:38,NFO,31-Jan-13,12803.5,12793.35,12793.35,864700,Futures,CNXBAN,1850
12802.7,30/01/13 14:39,NFO,31-Jan-13,12804,12800,12800,864700,Futures,CNXBAN,875
12793.45,30/01/13 14:40,NFO,31-Jan-13,12802.7,12793.45,12802.7,865625,Futures,CNXBAN,1200
12797.7,30/01/13 14:41,NFO,31-Jan-13,12800.5,12793.45,12793.45,865625,Futures,CNXBAN,975
12797.8,30/01/13 14:42,NFO,31-Jan-13,12799,12793.55,12797.7,865625,Futures,CNXBAN,4350
12793.3,30/01/13 14:43,NFO,31-Jan-13,12799.9,12793.3,12797.8,869500,Futures,CNXBAN,3100
12790.05,30/01/13 14:44,NFO,31-Jan-13,12795,12789.95,12793.3,869500,Futures,CNXBAN,2050
12791.05,30/01/13 14:45,NFO,31-Jan-13,12793.25,12790.05,12790.05,869500,Futures,CNXBAN,2550
12792,30/01/13 14:46,NFO,31-Jan-13,12793,12789.15,12790.2,868600,Futures,CNXBAN,2150
12778,30/01/13 14:47,NFO,31-Jan-13,12792,12774.95,12792,868600,Futures,CNXBAN,10875
12782,30/01/13 14:48,NFO,31-Jan-13,12785.35,12778,12779.35,868600,Futures,CNXBAN,3400
12782.3,30/01/13 14:49,NFO,31-Jan-13,12785,12780.1,12782,865675,Futures,CNXBAN,1925
12784.65,30/01/13 14:50,NFO,31-Jan-13,12786.4,12782.3,12782.3,865675,Futures,CNXBAN,900
